seqID	TATA_Count	Sequence_Length	GC_Percent
CP172825.1	21118	4636928	52.22
CP191545.1	22910	4898209	52.05
CP175995.1	22836	4862639	52.04
CP191498.1	22286	4886064	52.10
CP175687.1	22814	4886585	52.01
AP044018.1	22466	4803510	52.06
AP044015.1	22792	4880099	52.04
AP044014.1	22682	4849808	52.06
AP044013.1	22686	4849627	52.06
CP133198.1	21472	4818219	52.28
CP177225.1	20342	4475747	52.19
CP162122.1	22888	5062194	52.17
CP159772.1	21808	4784320	52.19
CP159769.1	22622	4966201	52.10
CP133791.1	21908	4712895	52.15
CP133790.1	21950	4715186	52.13
CP133789.1	22064	4741713	52.12
CP168023.1	22022	4803952	52.07
CP182218.1	21058	4728146	52.27
CP182214.1	21032	4722241	52.27
CP182216.1	21050	4728620	52.27
CP194313.1	21896	4841095	52.19
CP194318.1	21898	4841872	52.19
CP194303.1	21896	4841093	52.19
CP194293.1	21896	4841094	52.19
CP194263.1	21896	4841093	52.19
CP194308.1	21896	4840188	52.19
CP194258.1	21896	4841093	52.19
CP194268.1	21896	4840189	52.19
CP194283.1	21898	4840742	52.19
CP194273.1	21896	4841094	52.19
CP194298.1	21896	4841095	52.19
CP194278.1	21896	4841094	52.19
CP194288.1	21896	4841095	52.19
CP197708.1	22010	4868138	52.21
CP178588.1	21982	4784476	52.05
CP159775.1	21868	4780514	52.03
CP197155.1	22478	4988593	52.21
CP197146.1	22550	4989763	52.20
CP197163.1	22556	4992217	52.20
CP197152.1	22552	4991153	52.20
CP197145.1	22324	4920319	52.18
CP197136.1	22328	4927906	52.18
CP197140.1	21766	4808272	52.23
CP197159.1	22264	4895007	52.17
CP196754.1	21544	4677442	52.19
CP192517.1	21692	4784875	52.13
CP192515.1	21652	4760751	52.12
CP196701.1	22514	4971940	52.17
CP196402.1	21620	4680731	52.18
CP196174.1	22572	4840359	52.10
CP195823.1	21560	4676647	52.17
CP162096.2	21882	4847759	52.21
CP195142.1	20894	4681669	52.30
CP169279.1	21046	4722507	52.27
CP169281.1	21046	4727491	52.27
CP144268.1	22052	4872919	52.20
CP185380.1	21618	4679634	52.18
CP130151.1	22238	4853274	52.12
CP129974.1	21692	4691380	52.17
CP129885.1	21690	4691387	52.17
CP168659.1	22458	4771958	51.99
CP110865.1	22336	4799609	52.13
CP161837.1	23090	5117867	52.12
CP161840.1	21904	4840291	52.16
CP155801.1	23090	5116874	52.12
CP159171.1	22624	5001042	52.18
CP159176.1	22624	5001042	52.18
CP193642.1	20864	4679386	52.30
CP193636.1	20872	4678832	52.30
CP193649.1	21206	4767298	52.26
CP193651.1	20874	4680684	52.30
CP181293.1	22556	4982678	52.18
CP174488.1	22296	4922493	52.16
CP174491.1	22206	4923101	52.23
CP174483.1	22156	4931663	52.19
CP175715.1	21936	4869415	52.23
CP175711.1	22014	4884976	52.22
CP171405.1	21650	4804203	52.21
CP193980.1	21046	4727133	52.27
CP193976.1	21046	4727041	52.27
CP193968.1	21048	4726865	52.27
CP193978.1	21046	4726922	52.27
CP193973.1	21066	4729887	52.27
CP193966.1	21046	4727178	52.27
CP193970.1	21050	4727136	52.27
CP193956.1	21040	4726432	52.27
CP193964.1	21046	4727121	52.27
CP193962.1	21048	4727134	52.27
CP193946.1	21046	4727129	52.27
CP193954.1	20850	4687297	52.31
CP193952.1	21046	4726527	52.27
CP193950.1	20850	4687002	52.31
CP193948.1	21046	4727130	52.27
CP193960.1	21042	4727111	52.27
CP193958.1	21042	4727110	52.27
CP193938.1	21050	4726824	52.27
CP193944.1	21046	4726528	52.27
CP193942.1	21046	4726524	52.27
CP193940.1	21048	4728306	52.27
