seqID	TATA_Count	Abundance_Group
CP161837.1	23090	High
CP155801.1	23090	High
CP191545.1	22910	High
CP162122.1	22888	High
CP175995.1	22836	High
CP175687.1	22814	High
AP044015.1	22792	High
AP044013.1	22686	High
AP044014.1	22682	High
CP159171.1	22624	High
CP159176.1	22624	High
CP159769.1	22622	High
CP196174.1	22572	High
CP197163.1	22556	High
CP181293.1	22556	High
CP197152.1	22552	High
CP197146.1	22550	High
CP196701.1	22514	High
CP197155.1	22478	High
AP044018.1	22466	High
CP168659.1	22458	High
CP110865.1	22336	High
CP197136.1	22328	High
CP197145.1	22324	High
CP174488.1	22296	High
CP191498.1	22286	High
CP197159.1	22264	High
CP130151.1	22238	High
CP174491.1	22206	High
CP174483.1	22156	High
CP133789.1	22064	High
CP144268.1	22052	High
CP168023.1	22022	High
CP175711.1	22014	Medium
CP197708.1	22010	Medium
CP178588.1	21982	Medium
CP133790.1	21950	Medium
CP175715.1	21936	Medium
CP133791.1	21908	Medium
CP161840.1	21904	Medium
CP194318.1	21898	Medium
CP194283.1	21898	Medium
CP194313.1	21896	Medium
CP194303.1	21896	Medium
CP194293.1	21896	Medium
CP194263.1	21896	Medium
CP194308.1	21896	Medium
CP194258.1	21896	Medium
CP194268.1	21896	Medium
CP194273.1	21896	Medium
CP194298.1	21896	Medium
CP194278.1	21896	Medium
CP194288.1	21896	Medium
CP162096.2	21882	Medium
CP159775.1	21868	Medium
CP159772.1	21808	Medium
CP197140.1	21766	Medium
CP192517.1	21692	Medium
CP129974.1	21692	Medium
CP129885.1	21690	Medium
CP192515.1	21652	Medium
CP171405.1	21650	Medium
CP196402.1	21620	Medium
CP185380.1	21618	Medium
CP195823.1	21560	Medium
CP196754.1	21544	Medium
CP133198.1	21472	Low
CP193649.1	21206	Low
CP172825.1	21118	Low
CP193973.1	21066	Low
CP182218.1	21058	Low
CP182216.1	21050	Low
CP193970.1	21050	Low
CP193938.1	21050	Low
CP193968.1	21048	Low
CP193962.1	21048	Low
CP193940.1	21048	Low
CP169279.1	21046	Low
CP169281.1	21046	Low
CP193980.1	21046	Low
CP193976.1	21046	Low
CP193978.1	21046	Low
CP193966.1	21046	Low
CP193964.1	21046	Low
CP193946.1	21046	Low
CP193952.1	21046	Low
CP193948.1	21046	Low
CP193944.1	21046	Low
CP193942.1	21046	Low
CP193960.1	21042	Low
CP193958.1	21042	Low
CP193956.1	21040	Low
CP182214.1	21032	Low
CP195142.1	20894	Low
CP193651.1	20874	Low
CP193636.1	20872	Low
CP193642.1	20864	Low
CP193954.1	20850	Low
CP193950.1	20850	Low
CP177225.1	20342	Low
